Player,Team,GP,G,A,Pts,+/-,PN,PIM,S,SB,MS,H,GV,TK,BS,FW,FL,F%,Year,Salary,Cap Hit,_merge,Pos,Num,Height,Weight,DOB
Haydn Fleury,TBL,31,0,1,1,-10,3,14,33,19,18,30,6,3,30,0,0,0.0,2023,"775,000","762,500",both,,,,,
Braden Schneider,NYR,82,6,12,18,10,5,16,80,64,24,146,52,23,132,0,0,0.0,2023,"832,500","925,000",both,D,4,75.0,211.0,9/20/01
Jeremy Lauzon,NSH,67,4,8,12,-11,26,66,78,50,35,250,23,3,74,0,0,0.0,2023,"2,000,000","2,000,000",both,,,,,
Cody Glass,NSH,72,14,20,34,8,10,20,130,45,53,62,23,35,31,364,363,50.07,2023,"2,500,000","2,500,000",both,,,,,
Alexandre Carrier,NSH,43,2,7,9,0,12,27,48,32,19,57,12,14,67,0,0,0.0,2023,"2,500,000","2,500,000",both,,,,,
Roman Josi,NSH,67,18,40,58,5,18,36,267,185,88,51,29,24,146,0,0,0.0,2023,"5,000,000","9,059,000",both,,,,,
Dante Fabbro,NSH,79,2,9,11,-4,25,50,101,71,33,113,42,19,128,0,0,0.0,2023,"2,500,000","2,500,000",both,,,,,
Cole Smith,NSH,69,3,13,16,-3,21,60,63,21,33,198,15,29,25,0,5,0.0,2023,"775,000","775,000",both,,,,,
Kiefer Sherwood,NSH,33,7,6,13,4,12,30,57,24,22,103,14,17,15,6,4,60.0,2023,"775,000","775,000",both,,,,,
Ryan McDonagh,NSH,71,2,18,20,12,11,22,78,56,43,63,59,47,162,0,0,0.0,2023,"8,400,000","6,750,000",both,,,,,
Filip Forsberg,NSH,50,19,23,42,-3,10,20,157,81,84,86,29,34,20,0,1,0.0,2023,"10,000,000","8,500,000",both,,,,,
Colton Sissons,NSH,82,12,18,30,-3,10,20,88,43,48,164,27,32,72,591,516,53.39,2023,"3,500,000","2,857,143",both,,,,,
Yakov Trenin,NSH,77,12,12,24,-7,18,47,140,52,64,167,43,44,30,14,22,38.89,2023,"1,700,000","1,700,000",both,,,,,
